Subclass/&BardSubclassCollegeTitle	Hochschule
Feature/&BardLoreSubclassAdditionalMagicalSecretsDescription	Auf der 6. Stufe lernst du zwei Zaubersprüche deiner Wahl aus einer beliebigen Klasse. Ein Zauberspruch, den du wählst, muss eine Stufe haben, die du wirken kannst, wie auf der Bardentabelle gezeigt, oder ein Cantrip. Die ausgewählten Zaubersprüche zählen für dich als Bardenzauber, zählen jedoch nicht zu der Anzahl der dir bekannten Bardenzauber.
Subclass/&BardSubclassCollegeOfVirtueTitle	Hochschule der Tugend
Subclass/&BardSubclassCollegeOfVirtueDescription	Die Bewegungen der Himmelskörper und der zarte Tanz der Existenzebenen schaffen eine Musikform, die sich im geordneten Universum widerspiegelt. Das College of Virtue entstand als eine Institution, die sich seinem Studium widmet und die Harmonie des Universums gegen die Kräfte des Chaos und der Zerstörung, die es stören würden, bewahrt. Die von religiöser Mystik durchdrungenen Barden des College agieren als Kräfte des Guten und der Ordnung in der Welt, arbeiten daran, das Böse zu vereiteln, wo immer sie es finden, und andere mit ihrer Musik zu erheben. Die meisten sehen sich als heilige Krieger, Vorkämpfer der Götter, und sie setzen ihr Leben dafür ein, ihre Interessen auf der materiellen Ebene zu fördern.
Feature/&BardVirtueSublclassBonusProficiencieslTitle	Bonus-Kenntnisse
Feature/&BardVirtueSublclassBonusProficiencieslDescription	Wenn Sie dem College of Virtue auf der 3. Stufe beitreten, erwerben Sie Kenntnisse in mittleren Rüstungen und Schilden. Außerdem erlangst du Kenntnisse in Weisheitsrettungswürfen.
Feature/&BardVirtueSubclassMusicOfTheSpheresTitle	Musik der Sphären
Feature/&BardVirtueSubclassMusicOfTheSpheresDescription	Auf der 3. Stufe lernst du, die Musik des Himmels zu machen und andere zu Größe zu inspirieren. Wenn eine Kreatur, die du in einem Umkreis von 18 m um dich sehen kannst, einen Angriffswurf ausführt, kannst du deine Reaktion nutzen, um eine deiner Anwendungen von bardischer Inspiration zu verbrauchen. Wirf einen bardischen Inspirationswürfel und addiere die Zahl zum Gesamtangriffswurf der Kreatur. Sie können diese Funktion verwenden, nachdem die Kreatur den Wurf gemacht hat, aber bevor der SL bestimmt, ob der Angriffswurf erfolgreich ist oder fehlschlägt. Wenn das Ziel des Angriffs ein Unterweltler oder ein Untoter ist, erleidet es zusätzlichen Strahlungsschaden in Höhe der Zahl, die auf dem bardischen Inspirationswürfel gewürfelt wird.
Reaction/&UseBardVirtueSubclassMusicOfTheSpheresPowerReactDescription	Gib eine Anwendung deiner Inspiration aus, um deinen Inspirationswürfel zum Angriffswurf deines Verbündeten hinzuzufügen. Dies nutzt Ihre Reaktion bis zu Ihrem nächsten Zug. Gegen Untote und Feinde verursacht dieser Angriff einen zusätzlichen Schaden in Höhe des Inspirationswürfelwerts.
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresLine	Zusätzlicher Schaden durch Musik der Sphären
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresFormat	Zusätzlicher Schaden durch Musik der Sphären
Subclass/&BardSubclassCollegeOfNatureTitle	Hochschule für Natur
Subclass/&BardSubclassCollegeOfNatureDescription	Barden vom College of Nature bemühen sich, das Gleichgewicht zwischen allen Lebewesen zu schützen. Die Mitglieder dieses Colleges sind eher in der Wildnis zu Hause als in einer lärmenden Taverne oder einem königlichen Hof. Sie spüren die Verbindung, die alles Leben zusammenhält und seine Harmonie erhält.\nDie meisten dieser Barden verehren selbst die Naturgewalten, aber einige widmen sich Aubori oder einem der vielen Naturgötter im Multiversum. Obwohl alles Leben für die Barden des College of Nature kostbar ist, wissen sie auch, dass die Natur denen Nahrung und Nutzen bieten kann, die nur bei Bedarf Leben nehmen.\nWenn ein Mitglied dieses Colleges auftritt, kann es scheinen, als ob die Natur selbst mit raschelnden Blättern, pfeifenden Winden, tosenden Wellen und singenden Vögeln mitmacht. Sie schaden nur denen, die unnötig Leben nehmen, die Natur plündern oder dunkle Magie einsetzen, um das Gleichgewicht der Natur zu verletzen. Für ihren Naturschutz erhalten sie im Gegenzug magische Energie.
Feature/&BardNatureSubclassBonusProficiencieslTitle	Bonus-Kenntnisse
Feature/&BardNatureSubclassBonusProficiencieslDescription	Sie erwerben Kenntnisse in zwei Fertigkeiten Ihrer Wahl, ausgewählt aus Tierhandhabung, Medizin, Natur und Überleben. Darüber hinaus erwerben Sie Kenntnisse mit dem Kräuterkunde-Set.
Feature/&BardNatureSubclassBonusCantripTitle	Bonus-Cantrip
Feature/&BardNatureSubclassBonusCantripDescription	Auf der 3. Stufe lernst du einen Druiden-Cantrip deiner Wahl. Dies gilt für dich als Barden-Cantrip.
Feature/&BardNatureSubclassNaturalFocusTitle	Natürlicher Fokus
Feature/&BardNatureSubclassNaturalFocusDescription	Sie gewinnen einen natürlichen Fokus, eine bestimmte Umgebung, mit der Sie sich verbunden fühlen. Es bietet Ihnen zusätzliche Zaubersprüche und Fähigkeiten.
Feature/&BardNatureSubclassArcticNaturalFocusTitle	Natürlicher Fokus - Arktis
Feature/&BardNatureSubclassArcticNaturalFocusDescription	Gefrorenes Ödland ist ein zweites Zuhause für Sie. Sie sind resistent gegen Kälteschäden. Auf der 6. Stufe fügst du Person halten und Graupelsturm zu deiner Liste bekannter Zauber hinzu.
Feature/&BardNatureSubclassDesertNaturalFocusTitle	Natürlicher Fokus - Wüste
Feature/&BardNatureSubclassDesertNaturalFocusDescription	Die pralle Sonne und die glühende Hitze der Wüste sind ein Trost. Sie haben Widerstand gegen Feuerschäden. Auf der 6. Stufe fügst du Scorching Ray und Wind Wall deiner Liste der bekannten Zauber hinzu.
Feature/&BardNatureSubclassMountainNaturalFocusTitle	Natürlicher Fokus - Berg
Feature/&BardNatureSubclassMountainNaturalFocusDescription	Der stürmische Himmel hoch über den Bergen bringt Ihnen Ruhe und Frieden. Sie haben Widerstand gegen Blitzschaden. Auf der 6. Stufe fügst du Spider Climb and Fly zu deiner Liste bekannter Zauber hinzu.
Feature/&BardNatureSubclassSwampNaturalFocusTitle	Natürlicher Fokus - Sumpf
Feature/&BardNatureSubclassSwampNaturalFocusDescription	Sie verbringen gerne Zeit in dichten, nebligen Sümpfen. Sie haben eine Resistenz gegen Giftschaden. Auf der 6. Stufe fügst du Säurepfeil und Stinkende Wolke zu deiner Liste bekannter Zauber hinzu.
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsTitle	Magische Geheimnisse der Umwelt
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsDescription	Ab der 6. Stufe kannst du jedes Mal, wenn du einen neuen Bardenzauber erlernst, stattdessen einen Zauber aus der Druiden- oder Waldläuferzauberliste wählen. Ein Zauberspruch, den du wählst, muss eine Stufe haben, die du wirken kannst, und muss mindestens Stufe 1 oder höher sein. Ein gewählter Zauberspruch zählt für dich als Bardenzauber.
