Subclass/&BardSubclassCollegeTitle	Faculdade
Feature/&BardClassRitualCastingDescription	Você pode lançar um feitiço conhecido como um ritual se o feitiço tiver a etiqueta de ritual.
Feature/&BardClassExpertisePointPoolTitle	Perícia
Feature/&BardClassExpertisePointPoolDescription	No 3º nível, escolha duas de suas proficiências. Seu bônus de proficiência é dobrado para qualquer teste de habilidade que você faça que use qualquer uma das proficiências escolhidas. \nNo 10º nível, você pode escolher outras duas proficiências de habilidade para obter esse benefício.
Feature/&BardClassJackOfAllTradesFeatureTitle	Valete para toda obra
Feature/&BardClassJackOfAllTradesFeatureDescription	Começando no 2º nível, você pode adicionar metade do seu bônus de proficiência, arredondado para baixo, a qualquer teste de habilidade que você fizer que ainda não inclua seu bônus de proficiência.
Feature/&BardClassSongOfRestTitle	Canção de Descanso
Feature/&BardClassSongOfRestDescription	Começando no segundo nível, você pode usar uma música suave ou oração para ajudar a revitalizar seus aliados feridos durante um breve descanso. Se você ou qualquer criatura aliada que pode ouvir seu desempenho gastar um ou mais Dados de Vida para recuperar pontos de vida no final do curto descanso, cada uma dessas criaturas recupera 1d6 pontos de vida extras. \nOs pontos de vida extras aumentam quando você atinge certos níveis nesta classe: para 1d8 no 9º nível, para 1d10 no 13º nível e para 1d12 no 17º nível.
Feature/&BardClassMagicalSecretsTitle	Segredos mágicos
Feature/&BardClassMagicalSecretsDescription	No 10º nível, você tem saqueado o conhecimento mágico de um amplo espectro de disciplinas. Escolha dois feitiços de qualquer classe, incluindo este. O feitiço que você escolher deve ser de um nível que você possa lançar. \nOs feitiços escolhidos contam como feitiços de bardo para você e estão incluídos no número da coluna Feitiços conhecidos da tabela de Bardo. \nVocê aprende dois feitiços adicionais de qualquer classe no 14º nível e novamente no 18º nível.
Feature/&BardClassCountercharmPowerTitle	Contra-feitiço
Feature/&BardClassCountercharmPowerDescription	No 6º nível, você ganha a habilidade de usar notas musicais ou palavras poderosas para interromper os efeitos de influência mental. Como uma ação, você pode iniciar uma atuação que dure até o final do seu próximo turno. Durante esse tempo, você e quaisquer criaturas aliadas em um raio de 30 pés de você têm vantagem em testes de resistência contra serem amedrontados ou encantados.
Feature/&BardClassCountercharmPowerEffectDescription	Você tem vantagem em testes de resistência contra ficar assustado ou encantado.
Stage/&SubclassSelectionStageCollegeHeader	Bard Colleges
Stage/&SubclassSelectionStageCollegeTitle	Bard College
Stage/&SubclassSelectionStageCollegeFeatures	Recursos da faculdade
Subclass/&BardSubclassCollegeOfLoreTitle	College of Lore
Subclass/&BardSubclassCollegeOfLoreDescription	Os bardos do College of Lore sabem algo sobre a maioria das coisas, coletando fragmentos de conhecimento de fontes tão diversas quanto tomos acadêmicos e contos de camponeses. Seja cantando baladas folclóricas em tavernas ou composições elaboradas em cortes reais, esses bardos usam seus dons para manter o público fascinado. Quando os aplausos cessam, os membros da audiência podem se surpreender questionando tudo o que consideram verdade, desde sua fé no sacerdócio do templo local até sua lealdade ao rei.
Feature/&BardLoreSublclassExtraSkillPointPoolTitle	Proficiências de bônus
Feature/&BardLoreSublclassExtraSkillPointPoolDescription	Ao ingressar no College of Lore no 3º nível, você ganha proficiência em três habilidades de sua escolha.
Feature/&BardClassCuttingWordsTitle	Palavras cortadas
Feature/&BardClassCuttingWordsPowerAttackRollTitle	Palavras cortadas: Penalidade de Rolls de Ataque
Feature/&BardClassCuttingWordsPowerDamageRollTitle	Palavras cortantes: Penalidade de Rolos de Danos
Feature/&BardClassCuttingWordsDescription	No 3º nível, você aprende como usar sua inteligência para distrair, confundir e, de outra forma, minar a confiança e competência dos outros. Quando uma criatura que você pode ver a menos de 18 metros de você faz uma jogada de ataque, um teste de habilidade ou uma jogada de dano, você pode usar sua reação para gastar um dos seus usos da Inspiração Bárdica, rolando um dado de Inspiração Bárdica e subtraindo o número rolado do rolo da criatura. A criatura está imune se não puder ouvi-lo ou se for imune a ser encantada.
Reaction/&UseBardClassCuttingWordsAttackRollsPenaltyPowerReactDescription	Gaste um uso de sua inspiração para subtrair seu dado de inspiração da jogada de ataque do alvo. Isso usa sua reação até o próximo turno.
Reaction/&UseBardClassCuttingWordsDamageRollsPenaltyPowerReactDescription	Gaste um uso de sua inspiração para subtrair seu dado de inspiração da jogada de dano do alvo. Isso usa sua reação até o próximo turno.
Feature/&BardLoreSubclassAdditionalMagicalSecretsTitle	Segredos mágicos adicionais
Feature/&BardLoreSubclassAdditionalMagicalSecretsDescription	No 6º nível, você aprende dois feitiços de sua escolha de qualquer classe. Um feitiço que você escolher deve ser de um nível que você possa lançar, conforme mostrado na tabela do Bardo, ou um cantrip. Os feitiços escolhidos contam como feitiços de bardo para você, mas não contam contra o número de feitiços de bardo que você conhece.
Subclass/&BardSubclassCollegeOfVirtueTitle	Faculdade de virtude
Subclass/&BardSubclassCollegeOfVirtueDescription	Os movimentos dos corpos celestes e a dança delicada dos planos de existência criam uma forma de música, que se reflete no universo ordenado. O College of Virtue surgiu como uma instituição dedicada ao seu estudo e para preservar a harmonia do universo contra as forças do caos e da destruição que iriam perturbá-lo. Mergulhados no misticismo religioso, os bardos do Colégio atuam como forças do bem e da ordem no mundo, trabalhando para impedir o mal onde quer que o encontrem e elevar os outros com a música que criam. A maioria se vê como guerreiro sagrado, campeão dos deuses, e compromete sua vida a promover seus interesses no plano material.
Feature/&BardVirtueSublclassBonusProficiencieslTitle	Proficiências de bônus
Feature/&BardVirtueSublclassBonusProficiencieslDescription	Ao ingressar no College of Virtue no 3º nível, você ganha proficiência em armaduras médias e escudos. Além disso, você ganha proficiência em testes de resistência de Sabedoria.
Feature/&BardVirtueSubclassMusicOfTheSpheresTitle	Música das Esferas
Feature/&BardVirtueSubclassMusicOfTheSpheresDescription	No 3º nível você aprende como fazer a música dos céus e inspirar outros à grandeza. Quando uma criatura que você pode ver a menos de 18 metros de você faz uma jogada de ataque, você pode usar sua reação para gastar um de seus usos de Inspiração Bárdica. Jogue um dado de Inspiração Bárdica e some o número ao total da jogada de ataque da criatura. Você pode usar este recurso após a criatura fazer a rolagem, mas antes que o GM determine se a rolagem de ataque foi bem-sucedida ou não. Se o alvo do ataque for um demônio ou morto-vivo, ele sofre dano radiante extra igual ao número rolado no dado de inspiração bárdica.
Reaction/&UseBardVirtueSubclassMusicOfTheSpheresPowerReactDescription	Gaste um uso de sua inspiração para adicionar seu dado de inspiração à jogada de ataque de seu aliado. Isso usa sua reação até o próximo turno. Contra mortos-vivos e demônios, esse ataque causa uma quantidade extra de dano igual ao valor do dado de inspiração.
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresLine	Danos extras devido ao Music of the Spheres
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresFormat	Danos extras devido ao Music of the Spheres
Subclass/&BardSubclassCollegeOfNatureTitle	Faculdade da natureza
Subclass/&BardSubclassCollegeOfNatureDescription	Os bardos do College of Nature se esforçam para proteger o equilíbrio que existe entre todas as coisas vivas. Os membros deste colégio sentem-se mais à vontade no deserto do que em uma taverna barulhenta ou na corte real. Eles sentem a conexão que une toda a vida e sustenta sua harmonia. \nA maioria desses bardos reverencia as próprias forças da natureza, mas alguns se dedicam a Aubori ou a um dos muitos deuses da natureza no multiverso. Embora toda a vida seja preciosa para os bardos do College of Nature, eles também sabem que a natureza pode fornecer sustento e utilidade para aqueles que só tiram a vida quando necessário. \nQuando um membro desta faculdade se apresenta, pode parecer que a própria natureza se junta com o farfalhar das folhas, ventos que assobiam, ondas quebrando e pássaros cantando. Eles prejudicam apenas aqueles que desnecessariamente tiram vidas, espoliam a natureza ou usam magia negra para ir contra o equilíbrio da natureza. Para sua proteção da natureza, eles recebem energia mágica em troca.
Feature/&BardNatureSubclassBonusProficiencieslTitle	Proficiências de bônus
Feature/&BardNatureSubclassBonusProficiencieslDescription	Você ganha proficiência em duas habilidades de sua escolha, selecionadas entre Manejo de Animais, Medicina, Natureza e Sobrevivência. Além disso, você ganha proficiência com o kit de fitoterapia.
Feature/&BardNatureSubclassBonusCantripTitle	Bonus Cantrip
Feature/&BardNatureSubclassBonusCantripDescription	No 3º nível, você aprende um druida cantrip de sua escolha. Isso conta como uma viagem de bardo para você.
Feature/&BardNatureSubclassNaturalFocusTitle	Foco Natural
Feature/&BardNatureSubclassNaturalFocusDescription	Você ganha um foco natural, um ambiente específico com o qual sente uma conexão. Ele fornece feitiços e habilidades extras.
Feature/&BardNatureSubclassArcticNaturalFocusTitle	Foco Natural - Ártico
Feature/&BardNatureSubclassArcticNaturalFocusDescription	Terras desertas congeladas são um segundo lar para você. Você tem resistência a danos causados ​​pelo frio. No 6º nível, você adiciona Hold Person e Sleet Storm à sua lista de feitiços conhecidos.
Feature/&BardNatureSubclassDesertNaturalFocusTitle	Foco Natural - Deserto
Feature/&BardNatureSubclassDesertNaturalFocusDescription	O sol escaldante e o calor escaldante do deserto são um conforto. Você tem resistência a danos de fogo. No 6º nível, você adiciona Raio Ardente e Parede do Vento à sua lista de feitiços conhecidos.
Feature/&BardNatureSubclassMountainNaturalFocusTitle	Foco Natural - Montanha
Feature/&BardNatureSubclassMountainNaturalFocusDescription	Os céus tempestuosos acima das montanhas trazem a você calma e paz. Você tem resistência a danos causados ​​por raios. No 6º nível, você adiciona Aranha Escalar e Voar à sua lista de feitiços conhecidos.
Feature/&BardNatureSubclassSwampNaturalFocusTitle	Foco Natural - Pântano
Feature/&BardNatureSubclassSwampNaturalFocusDescription	Você gosta de passar o tempo em pântanos densos e nebulosos. Você tem resistência a danos de veneno. No 6º nível, você adiciona Flecha Ácida e Nuvem Fedorenta à sua lista de feitiços conhecidos.
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsTitle	Segredos mágicos ambientais
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsDescription	A partir do 6º nível, sempre que você aprender um novo feitiço de bardo, você pode escolher um feitiço da lista de feitiços de druida ou ranger. Um feitiço que você escolher deve ser de um nível que você possa lançar e deve ser de primeiro nível ou superior. Um feitiço escolhido conta como um feitiço de bardo para você.
